天津	200610	848518.56	216053.40	545140.66	17212.10	70112.40
河北	200610	2159009.15	536495.10	1461177.38	47101.86	114234.82
辽宁	200610	1611233.76	408141.56	1079883.48	32004.82	91203.89
大连	200610	542584.16	166974.18	317134.76	15618.77	42856.44
上海	200610	3368486.09	842600.91	2196735.31	82275.39	246874.48
江苏	200610	4239209.35	996009.18	2878691.83	108788.46	255719.87
浙江	200610	2507063.13	882639.31	1394221.22	92998.33	137204.27
宁波	200610	484977.52	225523.78	214767.37	17905.22	26781.15
福建	200610	1242333.87	341471.56	768188.20	37259.00	95415.11
厦门	200610	229257.81	83017.02	112102.49	9079.08	25059.23
山东	200610	2802798.47	739149.06	1819852.51	68546.53	175250.36
青岛	200610	499505.19	171121.93	265767.31	12459.88	50156.08
广东	200610	3875805.66	1134737.41	2340807.62	140111.42	260149.20
深圳	200610	1094408.41	467663.96	508861.29	47481.00	70402.15
海南	200610	148436.81	57321.25	77328.88	6038.11	7748.57
山西	200610	1208769.14	319491.29	817980.23	25147.03	46150.59
吉林	200610	761812.60	174415.81	535280.50	17587.56	34528.72
黑 龙 江	200610	1375395.77	252244.18	1037473.08	28358.64	57319.87
安徽	200610	1432977.68	329523.11	998836.04	28890.35	75728.17
江西	200610	831215.47	181867.66	575157.32	31781.49	42409.01
河南	200610	2179314.64	411864.09	1597951.14	53229.74	116269.68
湖北	200610	1332009.90	329155.36	869548.96	41547.19	91758.39
湖南	200610	1236928.94	277256.21	826225.21	54595.48	78852.04
重庆	200610	775277.74	193641.01	498411.97	33076.20	50148.56
四川	200610	1992816.33	512347.64	1253792.44	80432.77	146243.48
贵州	200610	412752.48	144037.44	221886.95	25702.55	21125.54
云南	200610	796809.99	297214.39	397407.00	45329.86	56858.73
西藏	200610	17333.64	16416.69	0.00	916.94	0.00
陕西	200610	963888.65	246958.24	647024.25	25946.90	43959.26
甘肃	200610	473478.66	129243.33	306121.41	12789.38	25324.54
青海	200610	71184.29	34189.38	30535.37	2532.15	3927.40
宁夏	200610	157315.67	49772.60	79393.54	6003.59	22145.94
